breed_id,breed_name,description,image
empordanesa,Empordanesa,"The Empordanesa chicken is a Mediterranean egg breed that is well suited for hot climates . They are brown egg layers, laying unusually dark eggs, ranging from warm terra cotta to a very dark chocolate brown. These are small birds weighing around five to six pounds for roosters and four pounds for hens. They also have an unusual carnation or king comb which is single in the front with multiple lobes at the rear that resemble a crown.",empordanesa.jpg
java,Java,"The Java is the 2nd oldest chicken breed developed in America, going back to 1835. Its ancestors come from the island of Java in the Far East. Javas are an excellent breed for free-ranging homesteads and are known for their egg production and table qualities. Javas come in white, black, mottled, and auburn. The Black Java is known for the brilliant beetle-green sheen of its feathers. Java hens are broody and good mothers which lay 150-180 large tinted-to-dark brown eggs each year, and well into the winter. With an average life span of 5-8 years, these hens will continue laying long after other breeds have stopped.",java.jpg
jersey-giant,Jersey Giant,"The Jersey Giant chicken was developed between 1870 and 1890 in New Jersey. You can probably guess from their name that these birds are pretty big. Roosters weight in at 13 pounds, and hens can easily grow up to 10 pounds. They are the largest purebred chicken breed. Jersey Giant hens tend to lay more eggs than other heavy breeds. Their eggs are extra-large in size with colors ranging from dark brown to light cream, and they lay about 150-200 eggs per year. When incubating eggs, this large breed sometimes takes 1-2 days longer to hatch than other chicken breeds. Jersey Giants are a very cold-hardy breed and generally lay during the winter. Note they do not fare well in the heat, so they must have options to keep them cool in warmer climates.",jersey-giant.jpg
maran,Maran,"Marans originated in western France and were imported in the 1930s. There are 9 recognized colors: Cuckoo, Golden Cuckoo, Black, Birchen, Black Copper, Wheaten, Black-tailed Buff, White and Columbian. If you find Marans chicks at a feed store, they will most likely be the Black Copper or Cuckoo variety. Hens are active and enjoy free ranging, and also have friendly, outgoing personalities. Marans are renowned for their dark chocolate brown eggs. If you’re looking for unique eggs, these are quite the conversation piece. You’ll get about 150 – 200 each year in your nesting boxes.",maran.jpg
naked-neck,Naked Neck,"The Naked Neck is a breed of chicken that is naturally devoid of feathers on its neck and vent. The breed is also called the Transylvanian Naked Neck, as well as the Turken. The name “Turken” arose from the mistaken idea that the bird was a hybrid of a chicken and the domestic turkey. They make for a good dual-purpose utility chicken. They only have about half the feathers of other chickens, so they are easier to pluck if raised for meat. They also lay a respectable number of eggs. They are very good foragers and are immune to most diseases, plus they are pretty fun to look at.",naked-neck.jpg
orpington,Orpington,"Orpington chickens were developed in the town of Orpington, England of all places. During the late 1800s, William Cook wanted to create a new breed that was dual purpose, but had white skin, which the British preferred for meat. Within 10 years, Orpingtons were a favorite in both England and America, and came in a variety of colors – black, white, buff, jubilee, and spangled. Orpingtons lay about 200 eggs per year. If you’re thinking about adding some to your flock, we suggest the Buff Orpington. They are known for being very docile and they make great family pets.",orpington.jpg
plymouth-rock,Plymouth Rock,"Developed in America in the middle of the 19th century, this breed of chicken is historically the most popular in the United States. Up until WWII, no other breed was kept as extensively as the Plymouth Rock. The original birds were all of the Barred variety – with black and white stripped plumage – and other color varieties were developed later. The popularity of this duel-purpose breed came from its qualities as an outstanding farm chicken: hardiness, docility, broodiness, and excellent production of brown eggs. This chicken is usually what comes to mind when you think of the chickens Grandma used to keep.",plymouth-rock.jpg
rhode-island-red,Rhode Island Red,"Rhode Island Reds are a great choice for beginner chicken-keepers, or expert small flock keepers alike. Developed in Massachusetts and Rhode Island in the late 1800s, these birds are a hardy, dual purpose breed. Since the 1940’s, the Rhode Island Red has been selectively bred for more efficient egg production, becoming smaller, lighter colored, and less broody as a result. Rhode Island Reds are very low maintenance, and can tolerate less than favorable conditions. These birds are very good layers of brown eggs and can  lay 200-300 eggs a year starting as early as six months of age.",rhode-island-red.jpg
speckledy,Speckledy aka Speckled Ranger,"The Speckledy is a modern hybrid, resulting from a cross between a Rhode Island Red rooster and a Marans hen. They are elegant in build, with feathering that resembles a Cuckoo Marans. The feathers are silky, soft to the touch, and quite abundant and fluffy. They have pale bay eyes, pale legs, a medium-sized single comb, and small earlobes and wattles. They are a docile, easy to tame and handle bird. They are good foragers and well suited to a free-range environment. Speckledys are very good layers. Hens will lay 250-270 chestnut brown eggs per year, which are often speckled. Their eggshells are particularly strong and the yolks are a deep yellow. They may produce less than some other hybrids, but they will keep your egg cartons full.",speckledy.jpg
sussex,Sussex,"This breed has ancient connections going all the way back to 43 A.D., when the Romans invaded Britain. They grew a reputation of being the finest poultry in Britain, and reached America in 1912. They are a dual-purpose breed and will put on fat very easily, so be careful in feeding them too many treats. If they become too overweight, you will see a decline in egg production. Sussex chickens are a wonderful breed for a small farm or homestead, being active and all-around an excellent breed for meat and eggs. Hens lay an average of 250 light brown eggs each year, and come in three recognized color varieties: Speckled, Red, and Light.",sussex.jpg
welsummer,Welsummer,"Welsummers are a Dutch breed of domestic chicken, developed in the 1920s. It is a light, friendly, and intelligent breed, with rustic-red and orange color. They are a cold-hardy and heat-tolerant breed making them ideal for various climates. They don’t mind being handled by their chicken keepers, and are happy to be kept in run if they can’t be kept free range. Welsummer hens lay large eggs, that are a dark, terracotta brown, and often speckled. Their production is about 160 eggs per year. Roosters are considered to have the “classic rooster” look, and often used in media.",welsummer.jpg
wyandotte,Wyandotte,"Developed in the 1880s, Wyandottes are named after a Native American tribe prevalent in parts of upstate New York and Ontario, Canada. They are thought to be developed from the Dark Brahma and Spangled Hamburgs. The Silver Laced Wyandotte was the original color recognized, but since then black, blue, buff, buff Columbian, Columbian, golden laced, partridge, and silver pencilled have been added as recognized color varieties. Wyandottes are friendly, calm, and cold hardy. Hens lay on average 200 light brown eggs per year. They make excellent setters and mothers.",wyandotte.jpg
colored,COLORED LAYERS,"Colored layer chicken breeds add a vibrant and diverse touch to poultry flocks. Apart from their eye-catching plumage, these breeds are known for their steady egg production, delivering eggs with varying shades from blue to green to speckled brown. Popular among backyard keepers for their dual-purpose qualities, colored layer chickens offer a delightful combination of aesthetic appeal and reliable egg output.",
ameraucana,Ameraucana,"Ameraucanas were developed in the United States in the 1960s and 1970s. They are descended from Araucanas brought from Chile. Ameracaunas lay pale blue eggs. So, if you’re looking to brighten up your egg basket, they make a great choice. They have a pea comb, white skin, slate or black legs, muffs and beards. Color varieties include black, blue, buff, silver, wheaten, or white. Hens can be fairly broody, and will lay about 250 blue eggs per year. Please be advised that Ameraucanas are only available through reputable breeders. You won’t find this breed at your local feed store. You may find Americanas, which is actually a hybrid, not this true breed.",ameraucana.jpg
araucana,Araucana,"Araucanas originated in Chile. It is speculated that this breed was developed prior to Old World contact, which would make them the only breed of chicken native to the Americas. They have a pea comb and lay approximately 250 blue eggs per year. Araucanas are very rare in the United States. They are rumpless, meaning they have no tail feathers, and have ear tufts. They do not have beards or muffs (like an Ameraucana). Their rarity is likely due to the fact that the gene for ear tufts is a lethal gene. Offspring with 2 copies of the gene will not survive to hatch. When breeding Araucanas, 50% of chicks will have one copy of the gene (and ear tufts), 25% will have zero copies (and no tufts), and 25% will have two copies of the gene (and not survive). If you have an Araucana in your flock, consider yourself a very lucky chicken keeper.",araucana.jpg
cream-legbar,Cream Legbar,"The Cream Legbar was developed in Britain in the 1930s. Geneticists at Cambridge University had the goal of creating a chicken with high egg production and autosexing traits. Autosexing traits are distinct differences between males and females that are visible on the day chicks hatch. That means you know hens from roosters on day one and don’t have to wait 12 weeks to find out. While this breed has existed for almost a century and is a favorite world-wide, it is only recently that Legbars have been brought to the U.S. Female chicks have a dark brown stripe. Male chicks have a less distinct, lighter brown stripe. Legbar plumage is cream and silver grey. Both hens and roosters have a small crest that slopes back and well away from their eyes. Birds are medium sized, active foragers, and do best in free-range conditions. Hens lay 160-200 eggs per year that are sky-blue or pale green in color, and they rarely go broody.",cream-legbar.jpg
easter-egger,Easter Egger,"A relative of Ameraucanas and Araucanas, an Easter Egger is any chicken that possesses the blue egg gene, but doesn’t fully meet any breed standard defined by the American Poultry Association. This means that they are a hybrid, not a true breed of chicken. They can be any mix of breeds, with one parent carrying the blue egg gene. What makes this breed great is that they can lay a rainbow of egg colors. Hens can lay any hue of blue or brown, or combination of the two (check out Olive Eggers). Please note that each hen will only lay one egg color in her lifetime but are bred to lay lots of them. You’ll get somewhere in the range of 280 eggs per year. Easter eggers are a very popular type of chicken, and can be found in just about any feed store that sells chicks. They may be labeled as Americana, but they are not true Ameraucanas. Easter Eggers are a great addition to any backyard flock.",easter-egger.jpg
isbar,Isbar,"The Isbar (pronounced “ice-bar”) is a rare breed that was developed in the 1950s in Sweden. Catholic monk Martin Silverudd had the goal to create autosexing breeds that lay a high volume of unusually colored eggs. His greatest achievement was the Isbar. This breed is beautiful, practical, and unique since they are the only single-combed breed to lay green eggs. They are cold-hardy and good foragers, and are alert to predators but friendly to people, making them great free-range birds. Hens lay about 200 eggs per year in varying shades of green, and sometimes speckled brown. These eggs are quite the conversation piece, even a work of art. Roosters have deep blue body feathers and shimmering metallic hackles. Hens are equally beautiful with their blue feathers. Splash patterns are also common in the breed, adding variety to their appearance.",isbar.jpg
olive-egger,Olive Egger,"Olive Eggers are a hybrid chicken that are the result of crossing a bird hatched from a dark brown egg and a bird hatched from a blue egg. Olive Eggers can be a really fun breed to raise. The exact shade of green in their eggs and also their appearance is highly variable and changes based on the breed of parents. Try experimenting with a combination of different breeds. These birds are hardy, curious, and active and are a great addition to any backyard flock. Olive Egger hens lay about 150-200 eggs yearly starting around the age of 5-6 months.",olive-egger.jpg
whiting-true-blue,Whiting True Blue,"The Whiting True Blue is not a heritage breed, but a modern breed developed by poultry geneticist Dr. Tom Whiting. His goal in creating this breed was a production bird that lays a consistent blue egg. Their plumage will vary across a myriad of colors, but is most commonly “chipmunk” or grey. If you’re a fan of a blue egg basket, this breed may be for you. Their egg size and eggs per year rivals any production bird. They are prolific layers of approximately 280 large powder blue eggs per year. They are very active chickens, with a friendly, non-aggressive temperament.",whiting-true-blue.jpg
white,WHITE LAYERS,"White layer chicken breeds are valued for their exceptional egg-laying prowess and efficient feed conversion. Renowned for producing white-shelled eggs, these breeds are preferred in commercial egg production due to their high egg production rates and cost-effectiveness. Known for their alert and active disposition, they are a popular choice for those prioritizing egg yield in their flock.",
55-flowery-hen,55 Flowery Hen,"Another creation of Father Martin Silverudd. Developed in 1955 in Sweden, the 55 Flower Hen is actually Silverudd’s first and most successful invented breed. These birds possess all the qualities Silverudd was after: an autosexing breed that produces eggs in commercial quantities. Hens lay large and round shaped cream-colored eggs. As a day-old chick, the males are easy to distinguish by the blonde down on the backs of their heads. As adults, the males are largely white while the females are decorated with a beautiful spotted pattern – the ‘flowers’ that contribute to the breed name.",55-flowery-hen.jpg
ancona,Ancona,"Ancona chickens originated in Italy and are named after the capitol of the Marche region. Anconas were developed in to their present form in England in the 19th century. They were bred to have very consistent plumage and 1 out of every 3 beetle black feathers has a V-shaped white tip on the end. Ancona hens are not broody and excellent layers of white eggs and lay about 220 per year. This breed is typical in personality of Mediterranean breeds: rustic, lively, hardy, and ranging. They stand frost and snow quite well, although care must be taken with the single combed variety to avoid frostbite.",ancona.jpg
andalusian,Andalusian,"Andalusian chickens are indigenous to Spain. Also called Blue Andalusians, they commonly have slate-blue colored plumage, but depending upon genetics, they can also be off-white or even black. Like other Mediterranean breeds, they have white earlobes. Their light body shape and their large pointed combs make them well-suited for warmer climates. Andalusians are very active foragers, so think twice if you keep your poultry in a coop and run. They do not do well in confinement, and thrive in a free-range environment. Hens lay about 165 white eggs per year.",andalusian.jpg
brakel,Brakel,"The Brakel’s history dates back to 1416 where they were developed in the Flanders region spanning across northern France, Belgium, and Holland. These birds were a staple on small farms and were bred as a dual-purpose breed with excellent egg production and good table quality. After both World Wars, the Brakel’s population declined drastically and by the 1960s the breed was all but extinct. In 1971, recovery efforts began. The only remaining birds were 2 hens, 2 roosters, and a dozen eggs. Remarkably from this small group, the breed was revived. The Brakel is very similar to the Campine. In fact, the two were considered the same breed until 1884, when they were distinguished as separate breeds. Brakels are a hardy and active breed. They are good fliers, alert for predators, and excellent foragers. This makes them well adapted for free-ranging flocks. Hens lay about 180 – 200 eggs per year, which are quite large relative to their medium body size. They are either silver of gold in color, with solid colored necks and banded body feathers. They have a tall, bright red comb.",brakel.jpg
gournay,Gournay,"“Le Poule de Gournay,” or the Gournay chicken, is from the upper Normandy region of France. It has ancient ancestry that may date back to the age of Vikings. The Gournay, like many traditional European breeds, suffered during World War I and II. They nearly went extinct, but with the help of local enthusiasts in the early 2000s, there are now around 15,000 of these birds in France. These birds weigh 4-7 pounds and have a round body and small head. Their feathers are evenly mottled black and white. They have orange eyes and a thick beak, and a well-developed breast with delicate and flavorful meat. Gourney hens are sweet but will go broody. They lay around 3 white, extra-large eggs per week. The Gournay is easy to tame and handles confinement well, making them a rare but excellent choice for backyard chicken keeping.",gournay.jpg
friesan,Friesan,"The Friesan is an ancient chicken breed, over 1,000 years old, from the isolated region of the northern coast of the Netherlands. These birds are small in size, and have more flying ability than larger chickens. They appear in many color varieties including gold, silver, and chamois penciled in their native region, but in limited varieties in the United States. The breed has been kept fairly wild. Young birds are quick to feather and quick to mature. They are flighty, not docile, but do not go broody often. Friesan hens are productive layers of small white eggs. They’ll produce about 150-180 eggs per year.",friesan.jpg
hamburg,Hamburg,"“History has it that the first chicken show was a contest to settle the dispute of whose rooster was most magnificent. This was conducted in a pub in England, about 1800, the bartender acting as judge, a copper pot as prize, and the roosters competing are said to have been Hamburgs.” – The Livestock Conservancy Hamburgs were found in Holland in the 14th century, but their origins are unclear. These birds are popular for their egg production. They only lay about 200 eggs per year, but they consistently lay for years longer than other breeds. These birds make an excellent addition to a backyard flock with room to forage. They are robust, active, and spirited, and are light eaters. Not to mention they have beautiful plumage. The silver spangled variety is the flashiest (pictured).",hamburg.jpg
holland,Holland,"In 1934, white eggs brought premium prices at market because it was believed that they had a better, more delicate flavor. Most of America’s eggs were produced by small farms at the time. Small farmers prefer dual-purpose chickens because they provide a source of meat as well as eggs. Because dual-purpose chicken breeds tend to lay brown eggs and white egg-laying breeds available at the time were light-weight and not well fleshed, this prompted Rutgers Breeding Farms to set about producing a dual-purpose breed that would lay white eggs. Thus, the Holland was created. Hollands are great backyard chickens. They are calm, good foragers, and the hens will raise their own offspring. They are also great table birds and lay plenty of large eggs. You can also enjoy that they are helping to conserve what is likely the rarest living breed of American chicken.",holland.jpg
leghorn,Leghorn,"Is it pronounced “Leghorn” or “Leghern”? Either way, these birds are great. This breed was developed simultaneously in England and the U.S. in the 1850s, with ancestry tracing back to birds in Northern Italy. Leghorns are very active birds – scratching and foraging the day away. They are hardy and easy breeders, but are mostly known for their egg production. You could easily get 280 eggs in a year, even up to 300. Many of the white eggs you see in grocery stores are produced by this breed of chicken.",leghorn.jpg
minorca,Minorca,"Minorcas are a Mediterranean breed of domestic chicken, and are in fact the largest fowl from this region. They have a greenish-black glossy plumage, and very large, bright red combs and wattles. These help with dissipating heat. They also have very large, almond shaped, white earlobes, common to other Mediterranean fowl. Minorcas are not broody, but excellent layers of large, white eggs. They are very hardy and rugged, taking well to free range conditions.",minorca.jpg
bantams,BANTAMS,"Bantam chicken breeds are the miniature counterparts to standard-sized chickens. They are cherished for their compact size, friendly demeanor, and charming personalities. Despite their small stature, bantams exhibit a wide variety of colorful plumage and feather patterns. Bantams are popular among enthusiasts for their suitability in smaller spaces, making them ideal for urban or backyard settings.",
barbu-duccle,Barbu D’uccle,"The Barbu D’uccle is a Belgian bantam breed. They were developed in the town of Uccle on the outskirts of Brussels. These chickens have a beard and muff and full hackle feathers around their neck. Hens weigh about 20 ounces. In the U.S. there are seven recognized varieties: Black, Golden Neck, Mille Fleur, Mottled, Porcelain, Self Blue, and White. The Mille Fleur is a popular variety, translating to a “Thousand Flowers.” These birds have sweet, friendly personalities and are known for their mysterious, quirky expressions. Hens lay tiny, cream colored eggs. They are a must have for bantam enthusiasts or anyone with limited space that wants a pet chicken.",barbu-duccle.jpg
belgian-antwerp-danvers,Belgian Antwerp D’anvers,"One of the oldest true bantam breeds, the Belgian Antwerp d‘Anvers has been around since the 1600s. They have upright bodies, round breast jutting forward, and arching tail. They have a profuse beard of feathers that cover the earlobes, and a small rose comb. Roosters weigh around 24 ounces and hens around 21 ounces. These birds can be found in numerous color variations. In Belgium, there are 29 recognized colors. If allowed open space and free ranging, these birds make excellent pets and are friendly to humans.",belgian-antwerp-danvers.jpg
booted-bantam,Booted Bantam,"The Booted Bantam goes by many names. “Federfuflge Zwerghuhne” in German, “Sabelpoot” in the Dutch, and “Booted Bantam” in the UK and Belgium. They are known for extravagant feathering on their feet and legs. Hens weigh around 22 ounces and roosters around 27 ounces. Almost exclusively an exhibition bird, they can be found in more than 20 color varieties, the most popular of which in the UK is the Lemon Millefleur. They are friendly and calm when kept as pets. They are good foragers, and hens will readily go broody. Booted Bantams are very similar to Barbu d’Uccles.",booted-bantam.jpg
chabo,Chabo,"The Chabo, also known as the Japanese bantam, is the largest true bantam breed. Their hefty, upright tails reach well over the birds’ heads. They come in many different colors and also in frizzle and silkie varieties. Rooster weigh a little over one pound, while hens weight just under a pound. Hens lay cream colored eggs. Chabos have unusually short legs. This breed is ideal for homeowners with delicate lawns and gardens because their little legs can’t do much damage while digging. As they are handled, Japanese Bantams calm down and make very nice pets or showmanship birds.",chabo.jpg
dutch-bantam,Dutch Bantam,"Originating in the Netherlands, the Dutch Bantam is a true bantam breed. They are one of the smallest bantams, only weighing in at about 15 ounces. They can fly rather well because they are small but have large wings. Dutch Bantams are especially hardy and good layers for their size. Hens lay about 160 cream colored eggs per year, although they are small. They have friendly temperaments and make great family pets.",dutch-bantam.jpg
nankin,Nankin,"The Nankin is one of the oldest bantam breeds. This breed was used in developing many other bantam breeds, such as the Sebright. They have rich, chestnut colored bodies, a black tail, and black flight feathers. Roosters weigh about 24 ounces and females about 22 ounces. Nankins are calm and have a likeable personality. They are unusual in that they stick very close together in a group and rarely venture away from the flock. This may be due to their small size—safety in numbers. Hens are known to be particularly broody and love hatching eggs, often sitting on other hens’ eggs in addition to their own.",nankin.jpg
pekin-bantam,Pekin Bantam,"Pekin Bantams are of Chinese origin and are alleged to have been looted by British soldiers from the private collection of the Emperor of China. They are round birds and have so many feathers that you practically can’t see their feet and legs. Roosters weigh around 23 ounces and hens weigh around 20 ounces. There is some debate over whether Pekins are a true bantam breed or are just miniature Cochins. Pekins come in a variety of colors. They are docile birds, and with some handing, can make great pets. While hens don’t produce many eggs, they are broody and make good mothers.",pekin-bantam.jpg
rosecomb-bantam,Rosecomb Bantam,"The Rosecomb Bantam is a true bantam breed, meaning it does not have a larger counterpart. It is one of the oldest bantam breeds, developed in England during the 14th century. Roosters weigh about 26 ounces and hens weigh about 22 ounces. They are kept mainly for exhibition and are generally bred for their appearance. Officially recognized colors include black, white, and blue. Unofficially, there are many more feather varieties. They have a very large comb and earlobes for their body size. They stand tall, alert, and proud, and have an “aristocratic” way about them. Hens lay one tiny cream-colored egg each week. They are docile in nature, but not at all friendly. In fact, these birds are high maintenance, and only recommended for serious poultry connoisseurs. They are not the best fit for casual poultry lovers.",rosecomb-bantam.jpg
scots-dumpy,Scots Dumpy,"Scots Dumpies are an ancient Scottish breed of chicken. Evidence suggests they existed 700 years ago. The “Dumpy” in the name refers to a dwarfing gene that causes them to have very short legs and waddle as they walk. Because of their shorter legs, the Scots Dumpy can’t scratch up your landscaping. They are also excellent egg producers, broody, and good mothers. They are docile and the roosters make very timely alarm clocks. While all roosters will crow, the Scots Dumpy rooster is more inclined to crow at their first sign of dawn.",scots-dumpy.jpg
sebright,Sebright,"Named after creator Sir John Sebright in about 1800, the Sebright is one of England’s oldest bantam breeds. They are a true bantam, meaning there is no standard version of the breed. They are small even for a bantam—males weigh about 22 ounces. Sebrights are considered an ornamental breed. They do not lay many eggs but have beautifully laced plumage in silver of gold. Males are “hen feathered” and do not have the typical feathering of a rooster in the tail, saddle, and hackles. Sebrights make good pets because they are active and easily tamed.",sebright.jpg
serama,Serama,"The Serama is a bantam breed of chicken originating in Malaysia within the last 50 years. The breed is named for the word “Rama,” the title of the Kings of Thailand. Small chickens have always been popular in the area as pets, and are sometimes called pygmy chickens. Seramas are meant to be small, brave chickens with the persona of a fearless warrior or toy soldier. They have an upright posture and vertical tail feathers, giving their body a V-shape. They are the smallest breed of chicken in the world. Serama r oosters and hens alike will weigh about 1/2 pound to 1 pound.",serama.jpg
bbq,BBQ SPECIAL,"Dual-purpose chicken breeds are often referred to as “BBQ Special” chickens which are prized for their versatility in both egg production and meat quality. These breeds strike a balance, offering reliable egg-laying capabilities while producing meat with excellent flavor and texture. These dual-pupose chickens are the ideal choice for those seeking a well-rounded poultry investment.",
barbezieux,Barbezieux,"The Barbezieux originated in France during the Middle Ages. These birds are impressive in the coop and on the table. Adult birds weigh 9 to 12 pounds, and roosters can grow up to 2 feet tall. They are considered the tallest chicken in Europe. They have iridescent, beetle black feathers, and an oversized comb and wattles. They have white skin and blue legs. Hens lay a good amount of white eggs, should you want to keep some in your flock as layers. Their meat is ultra-premium. Some foodies claim it’s even better than the famous Bresse. Barbezieux meat is firm and has a very distinct flavor, with notes of wild game. The roasted skin is golden and has a light wheat scent.",barbezieux.jpg
basque,Basque,"The Basque region of Spain and France has a rich history and culture that has endured thousands of years in harsh and rugged terrain. The Basque people view themselves as independent and apart from the countries where they live. Just like the people of the region, Basque chickens thrive under conditions that their less hardy cousins would struggle with. The legs, feet, and skin of these birds are yellow. They have a bright red single comb and narrow, pointed red earlobes. They are found in five color varieties: Beltza (black), Gorria (red), Lepasoila (naked-necked, red-brown), Marraduna (golden cuckoo) and Zilarra (black-tailed white). This breed has recently become a favorite of homesteaders in the United States and Canada. They are ideal for free ranging, given their hardy ancestry and excellent foraging skills. Basque Chickens are medium-sized, with roosters growing as large as 9 pounds, giving a good amount of meat for the table. Hens lay about 200 – 220 large brown eggs per year. Their best quality, however, is their winning personality. They are very friendly and enjoy human company, allowing themselves to be picked up without a fuss.",basque.jpg
bresse,Bresse,"The Bresse is hailed as the best tasting chicken in the world. Similar to French Champagne, birds must be raised within the legally defined area of the historic region of Bresse, in eastern France. To maintain the strictest quality standards, the raising and selling of Bresse chickens is rigidly controlled by the French government. There are rules about how much land they must have access to, what they must be fed, and how they must be processed. There are only about 200 breeders that producing 1.2 million birds annually. When you purchase a Bresse chicken it will have a leg band to prove authenticity. It will also cost you over $20 per pound. Bresse chickens are colored like the French flag – red comb, white body, and blue legs.",bresse.jpg
